,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
260,2011,부산광역시,동래구,총계,95925,93649,79631,79329,71619,72767,79203,87788,81170,70761,73312,81059
261,2011,부산광역시,부산진구,총계,168594,161798,140293,140540,127376,133523,144805,160347,149443,130407,131723,144091
262,2011,부산광역시,북구,총계,86812,84136,71599,72124,65587,67000,72718,79784,74176,65722,68648,74674
263,2011,부산광역시,사상구,총계,198051,182686,173066,174058,157343,161574,166301,166860,161389,153819,162703,175812
264,2011,부산광역시,사하구,총계,279233,255234,252691,245468,236152,247027,242097,260156,253210,267017,264905,277407
265,2011,부산광역시,서구,총계,56113,51534,46941,46140,42343,43682,46561,52306,50344,46990,47040,51761
266,2011,부산광역시,수영구,총계,57685,56260,47329,47164,42420,42958,46527,53330,49542,42757,43779,48326
267,2011,부산광역시,연제구,총계,78105,75236,65015,64328,60003,60624,66852,73636,67326,57475,59585,65848
268,2011,부산광역시,영도구,총계,52143,48600,44912,44180,39375,38340,39602,42907,40237,36762,39080,42713
269,2011,부산광역시,중구,총계,45065,42886,37020,36263,32586,33764,38412,44513,41299,34177,33210,36448
270,2011,부산광역시,해운대구,총계,164875,154769,141407,141550,135410,140542,154012,169944,154784,139440,140735,151630
271,2011,대구광역시,남구,총계,66060,64140,53815,52202,45388,45921,50138,55207,50975,44029,47488,54506
272,2011,대구광역시,달서구,총계,396292,371060,354434,351783,330148,342877,360941,368532,346798,330051,341509,360812
273,2011,대구광역시,달성군,총계,253590,230352,238522,232580,223767,227128,234909,225792,222373,228655,237640,254458
274,2011,대구광역시,동구,총계,124299,120197,101628,100812,90464,91665,98158,106683,100147,89508,96040,108320
275,2011,대구광역시,북구,총계,233669,222327,198310,196360,177920,184215,197696,207154,193601,176040,186168,205793
276,2011,대구광역시,서구,총계,110173,107009,96876,96248,88271,91131,98026,101826,97384,86558,90195,95867
277,2011,대구광역시,수성구,총계,161218,154618,132396,131079,118448,122789,135204,147118,134929,117347,123438,138641
278,2011,대구광역시,중구,총계,73511,66964,58526,55524,52003,57642,68231,74329,65409,53561,54343,63068
279,2011,인천광역시,강화군,총계,63809,62490,49386,46428,37609,32019,29935,32202,32876,32368,39925,49101
280,2011,인천광역시,계양구,총계,131605,123870,110213,106712,98593,100006,107270,115807,108930,96870,101181,114230
281,2011,인천광역시,남구,총계,213664,198052,186349,179484,158281,168426,178988,187740,183105,166995,168972,187553
282,2011,인천광역시,남동구,총계,389771,356411,337040,330201,301679,313039,321522,331204,320114,301735,315457,345616
283,2011,인천광역시,동구,총계,365969,288133,380799,366210,378025,365648,346920,317388,303521,367612,357909,378206
284,2011,인천광역시,부평구,총계,253223,231241,212928,206724,192261,200246,209512,221062,211474,188608,197277,219220
285,2011,인천광역시,서구,총계,408470,324427,368109,358561,333944,317656,317112,346107,345769,335465,345791,375394
286,2011,인천광역시,연수구,총계,156305,138375,126977,116744,108786,111793,123555,137023,114302,123517,117072,136251
287,2011,인천광역시,옹진군,총계,18403,21397,14890,15042,12350,15774,10164,10936,11420,10934,17662,15504
288,2011,인천광역시,중구,총계,159198,139477,138837,132913,127334,129135,138566,149691,121473,145116,130859,141608
289,2011,광주광역시,광산구,총계,274751,256740,258859,260620,245084,242499,254680,257399,251001,249274,255019,255901
290,2011,광주광역시,남구,총계,65870,63955,53720,53509,46623,47701,52215,57368,52903,46238,50541,57591
291,2011,광주광역시,동구,총계,62638,59524,51615,50266,44436,45934,51413,56810,51722,43962,44720,51125
292,2011,광주광역시,북구,총계,211553,200426,185352,182702,168225,173296,189915,202153,188295,167578,171079,185631
293,2011,광주광역시,서구,총계,142385,136647,123405,122057,111472,116987,126332,138316,129135,111876,114365,123976
294,2011,대전광역시,대덕구,총계,254675,230745,238626,229824,222774,230865,237999,243276,227777,221918,224076,233203
295,2011,대전광역시,동구,총계,98976,97758,80006,78676,66989,65575,69899,77978,72428,64798,70289,81573
296,2011,대전광역시,서구,총계,180409,179298,151498,151015,134556,138045,150978,170019,156982,132639,137774,150426
297,2011,대전광역시,유성구,총계,231691,212438,199766,195149,185500,198011,220049,231141,207576,178875,185692,204408
298,2011,대전광역시,중구,총계,111497,105583,87269,85086,75350,77721,85532,93787,84872,74838,80988,92616
299,2011,울산광역시,남구,총계,1185191,1045886,1100117,1114486,1111621,1136723,1203930,1204335,1164327,1126534,1124096,1119653
300,2011,울산광역시,동구,총계,163142,135711,146053,137202,139001,143408,148581,149149,142168,137606,141726,150690
301,2011,울산광역시,북구,총계,213509,183043,196838,192451,188321,197315,214923,196126,195598,201701,200963,221874
302,2011,울산광역시,울주군,총계,797788,693890,805405,828959,843552,844084,841965,773793,813373,848075,821935,859493
303,2011,울산광역시,중구,총계,64401,62850,53717,53627,48109,49145,53406,59124,55182,47835,49841,54694
304,2011,경기도,가평군,총계,77197,74968,58962,53765,44246,38819,38189,41855,39290,40591,47956,58785
305,2011,경기도,고양시,총계,460456,438973,372082,359714,319599,319100,340557,371836,353848,312903,336282,383177
306,2011,경기도,과천시,총계,41574,38608,35318,34138,32511,33942,37132,40391,36509,32103,32910,35887
307,2011,경기도,광명시,총계,117554,109607,96273,93034,88834,92362,99997,107692,100514,89608,94364,104305
308,2011,경기도,광주시,총계,247792,231018,196774,190991,160952,154239,157347,161561,162696,158130,175886,204973
309,2011,경기도,구리시,총계,79376,74387,63870,63014,57855,60654,64288,69853,66489,56474,59254,66324
310,2011,경기도,군포시,총계,149837,137698,125590,122082,111126,115886,123167,130376,122440,110425,114947,127571
311,2011,경기도,김포시,총계,272306,256886,225741,224395,194282,189839,189388,187362,193993,188817,207403,241978
312,2011,경기도,남양주시,총계,275818,266378,222890,217153,190273,184505,188756,200956,198049,184482,202617,231366
313,2011,경기도,동두천시,총계,63699,62173,53756,52350,46433,46716,50299,51471,51278,44881,51222,52819
314,2011,경기도,부천시,총계,423668,394933,353049,347079,320220,333349,356417,380652,357281,314321,325608,362169
315,2011,경기도,성남시,총계,459773,405469,380319,365397,350301,371661,405784,436017,397187,349580,357365,394709
316,2011,경기도,수원시,총계,472963,443079,394890,390149,363787,379699,409714,445221,411838,360081,373984,410299
317,2011,경기도,시흥시,총계,421426,386231,368008,356346,322981,323085,335664,342379,324895,314851,330686,361807
318,2011,경기도,안산시,총계,736072,655638,665675,642672,610196,628313,665430,677070,643599,620703,632671,670144
319,2011,경기도,안성시,총계,256969,247840,224302,214353,192171,186294,192129,199940,189871,182839,203295,219456
320,2011,경기도,안양시,총계,260988,241445,216436,209599,193617,199343,213704,230174,215929,188515,194604,217347
321,2011,경기도,양주시,총계,216625,204423,178437,177481,154712,145398,142573,141988,141815,151217,166855,182428
322,2011,경기도,양평군,총계,118625,119263,89959,81307,62875,51726,48733,51244,51306,56208,71237,87840
323,2011,경기도,여주군,총계,140603,132529,108312,106007,90029,84991,84826,88050,87764,88081,102991,115676
324,2011,경기도,연천군,총계,61677,58302,46869,44218,36799,32701,30870,31937,33511,34792,42272,48941
325,2011,경기도,오산시,총계,114870,105159,100048,98519,89947,92685,97857,100735,97270,89544,89222,98745
326,2011,경기도,용인시,총계,781343,733976,689978,676080,660120,654779,696199,722507,682620,649077,668073,718919
327,2011,경기도,의왕시,총계,67203,63090,49861,54198,48391,49471,52733,55954,53449,47685,50760,57309
328,2011,경기도,의정부시,총계,163948,154844,130280,127030,115723,119261,127150,137647,131697,113839,120780,137599
329,2011,경기도,이천시,총계,381539,354685,341427,325704,316145,313349,332783,341153,320176,316398,332662,350634
330,2011,경기도,파주시,총계,605783,571033,562879,546908,534548,534650,555609,584524,563767,561313,578916,611618
331,2011,경기도,평택시,총계,625208,569929,562996,540638,519686,525766,561815,534403,535261,521028,531825,577348
332,2011,경기도,포천시,총계,263246,257746,216155,216318,181574,170397,163574,164266,171887,168887,200178,224739
333,2011,경기도,하남시,총계,111235,103272,92409,88979,82713,83004,86688,90630,86427,81315,84795,93762
334,2011,경기도,화성시,총계,1085913,1025331,982689,973112,921493,936157,978826,957840,919779,942150,987378,1068249
335,2011,강원도,강릉시,총계,169825,172866,173955,171326,153783,154863,144378,147253,153023,157352,166516,175508
336,2011,강원도,고성군,총계,29175,28872,24496,23707,20577,19625,18192,20111,19006,19026,21872,24648
337,2011,강원도,동해시,총계,240936,232975,261496,246409,266192,262862,255835,249111,263602,283381,270878,277567
338,2011,강원도,삼척시,총계,104152,87760,106820,109290,103657,101339,99339,98211,97370,105347,104574,107199
339,2011,강원도,속초시,총계,46677,45481,38750,37999,33888,32684,32449,36136,33503,32296,35891,40621
340,2011,강원도,양구군,총계,24516,25129,19877,18357,14977,11967,11348,11813,12087,13606,17724,20344
341,2011,강원도,양양군,총계,29790,29485,24322,23469,20408,19424,18133,20680,19699,19651,22342,24671
342,2011,강원도,영월군,총계,80235,77792,94180,95395,91155,84055,72082,73413,83250,93812,92713,96236
343,2011,강원도,원주시,총계,242957,231964,199121,188559,163553,156364,156520,164398,157385,156756,175634,205155
344,2011,강원도,인제군,총계,38174,37483,29702,28173,23549,20335,19131,20359,19640,22307,25835,31128
345,2011,강원도,정선군,총계,65192,60332,54827,50680,45756,41979,42787,43731,42065,46396,51308,61294
346,2011,강원도,철원군,총계,58442,54269,42931,40650,32755,28233,25546,26283,26580,30144,38652,45532
347,2011,강원도,춘천시,총계,165129,160761,130560,126680,107457,101361,103611,110968,107494,102961,117640,136910
348,2011,강원도,태백시,총계,37817,34717,30859,29746,26256,25049,25043,25223,25175,26418,29197,33087
349,2011,강원도,평창군,총계,74133,68883,52241,46465,38571,33347,31787,34919,32076,37897,45896,62651
350,2011,강원도,홍천군,총계,82878,81716,64247,58642,49777,45056,44499,47005,43331,45445,54721,67111
351,2011,강원도,화천군,총계,28307,27798,21705,20120,16077,13891,13318,14530,14443,15348,18504,22289
352,2011,강원도,횡성군,총계,63828,62215,50577,46270,37229,32394,30762,32659,31200,34183,41584,52086
353,2011,충청북도,괴산군,총계,48554,46431,41916,39245,33429,32190,31793,32189,30517,32338,36409,42774
354,2011,충청북도,단양군,총계,97240,84064,157886,169267,152067,131451,98294,103719,119486,145120,134198,126829
355,2011,충청북도,보은군,총계,31769,31278,25842,24350,19771,18514,17879,18709,18656,19281,23034,26470
356,2011,충청북도,영동군,총계,42930,42061,37550,36282,29856,28248,28151,28268,28623,29341,32984,36970
357,2011,충청북도,옥천군,총계,64091,60952,56675,54532,46792,40659,48636,45172,43388,44769,47666,53854
358,2011,충청북도,음성군,총계,214252,195793,194371,187201,164194,184274,180131,178424,168641,172996,185113,199521
359,2011,충청북도,제천시,총계,121345,122043,118525,114717,104424,97442,90663,96031,94401,104168,109995,123868
360,2011,충청북도,증평군,총계,40154,37235,36350,35275,33325,33094,35373,37126,35207,33922,35153,38824
361,2011,충청북도,진천군,총계,152506,138877,139547,134189,127399,127419,131264,132205,123244,127243,132898,140479
362,2011,충청북도,청원군,총계,389956,347843,360528,350042,341898,347638,368526,364192,344993,347771,352688,373208
363,2011,충청북도,청주시,총계,506929,475597,459583,451375,433607,434808,466282,482946,448106,425144,438436,470191
364,2011,충청북도,충주시,총계,196032,185512,166741,159156,139913,133381,136241,141983,137878,136797,152298,172884
365,2011,충청남도,계룡시,총계,22139,19974,18024,17042,15829,16733,18663,19824,17516,16320,17589,20070
366,2011,충청남도,공주시,총계,107068,105898,91962,86532,73553,71469,72233,78782,74663,73703,86143,94368
367,2011,충청남도,금산군,총계,89893,81709,81237,77236,68346,68900,70562,66962,67443,71192,77253,82934
368,2011,충청남도,논산시,총계,118460,114906,105388,98880,85657,85351,84574,87764,85107,79722,95180,99220
369,2011,충청남도,당진시,총계,857989,743067,842787,823010,833864,812906,773998,759957,763623,835161,791610,854662
370,2011,충청남도,보령시,총계,95047,94990,83316,83500,75062,70736,68330,75771,73415,71058,82132,83366
371,2011,충청남도,부여군,총계,60564,60493,50684,46715,38166,35737,35749,38771,38427,37385,44741,46943
372,2011,충청남도,서산시,총계,454587,424691,420274,395535,433883,472176,498712,502816,473011,433971,485292,496151
373,2011,충청남도,서천군,총계,121166,115090,112118,112935,89685,85997,87234,85759,85770,-319,27499,30707
374,2011,충청남도,아산시,총계,883698,807585,863509,832207,847361,833462,872589,872854,850112,874488,881578,920251
375,2011,충청남도,연기군,총계,141920,132499,128446,126075,119345,120847,125187,127550,123800,124825,131249,140883
376,2011,충청남도,예산군,총계,84496,81134,73074,68744,60185,57047,56659,59087,57968,57779,65399,70451
377,2011,충청남도,천안시,총계,706583,649134,645491,622318,599208,602405,636851,651766,609588,597690,615233,650184
378,2011,충청남도,청양군,총계,28206,28553,24579,23562,19652,18655,18413,19872,19302,19232,22643,23084
379,2011,충청남도,태안군,총계,52785,54881,43640,45410,44880,35608,32311,38299,38809,34361,49665,43651
380,2011,충청남도,홍성군,총계,73485,72349,64728,61843,52590,49207,48426,51871,51137,49814,61304,64068
381,2011,전라북도,고창군,총계,45577,44335,38958,38667,32076,29829,30742,33239,31151,30253,39312,48775
382,2011,전라북도,군산시,총계,669983,622507,670106,656204,676864,667853,679176,654789,670039,689270,712465,733394
